aardwolves	aardwolf
abaci	abacus
abetted	abet
abetting	abet
abhorred	abhor
abhorring	abhor
abode	abide
aboideaux	aboideau
aboiteaux	aboiteau
abought	aby
about-shipped	about-ship
about-shipping	about-ship
abscissae	abscissa
abutted	abut
abutting	abut
abye	aby
acanthi	acanthus
acari	acarus
acciaccature	acciaccatura
accompanied	accompany
acer	acer
acetabula	acetabulum
acetified	acetify
achaemenidae	achaemenid
achaemenides	achaemenid
acicula	aciculum
aciculae	acicula
acidified	acidify
acini	acinus
acquitted	acquit
acquitting	acquit
acre-feet	acre-foot
acromia	acromion
actiniae	actinia
actinozoa	actinozoan
ad-libbed	ad-lib
ad-libbing	ad-lib
addenda	addendum
addrest	address
adenocarcinomata	adenocarcinoma
adenomata	adenoma
adieux	adieu
admitted	admit
admitting	admit
adyta	adytum
aecia	aecium
aecidia	aecidium
aerified	aerify
aerobia	aerobium
after	after
agents-general	agent-general
aggiornamenti	aggiornamento
agnomina	agnomen
agones	agon
agorae	agora
agouties	agouti
aides-de-camp	aide-de-camp
aides-memoire	aide-memoire
aids-de-camp	aid-de-camp
air-dried	air-dry
airdropped	airdrop
airdropping	airdrop
airier	airy
airiest	airy
alae	ala
alewives	alewife
alkalies	alkali
alkalified	alkalify
all-arounder	all-arounder
allied	ally
allodia	allodium
allotted	allot
allotting	allot
allowed for	allow for
allowing for	allow for
allows for	allow for
alluvia	alluvium
alodia	alodium
alto-relievos	alto-relievo
altocumuli	altocumulus
altostrati	altostratus
alulae	alula
alumnae	alumna
alumni	alumnus
alveoli	alveolus
am	be
amanuenses	amanuensis
ambulacra	ambulacrum
amebae	ameba
amici curiae	amicus curiae
ammonified	ammonify
amnestied	amnesty
amnia	amnion
amniocenteses	amniocentesis
amoebae	amoeba
amoebiases	amoebiasis
amoraim	amora
amoretti	amoretto
amorini	amorino
amphiarthroses	amphiarthrosis
amphicia	amphithecium
amphimixes	amphimixis
amphioxi	amphioxus
amphisbaenae	amphisbaena
amphorae	amphora
amplified	amplify
ampullae	ampulla
amygdalae	amygdala
anabases	anabasis
anacolutha	anacoluthon
anacruses	anacrusis
anaerobia	anaerobium
anagnorises	anagnorisis
analemmata	analemma
analyses	analysis
anamneses	anamnesis
anamorphoses	anamorphosis
anastomoses	anastomosis
anatyxes	anaptyxis
ancones	ancon
androclinia	androclinium
androecia	androecium
androsphinges	androsphinx
andtheridia	antheridium
angelfishes	angelfish
angiomata	angioma
anglified	anglify
angrier	angry
angriest	angry
animalcula	animalculum
anlagen	anlage
annattos	anatto
annuli	annulus
annulled	annul
annulling	annul
antae	anta
antalkalies	antalkali
antefixa	antefix
antennae	antenna
antependia	antependium
anthelia	anthelion
anthelices	anthelix
anthemia	anthemion
antheridia	antheridium
anthodia	anthodium
anthozoa	anthozoan
anthraces	anthrax
anticlinoria	anticlinorium
antihelices	antihelix
antiheroes	antihero
antisera	antiserum
antitheses	antithesis
antitragi	antitragus
antra	antrum
anus	anus
aortae	aorta
aphelia	aphelion
aphides	aphis
apices	apex
apodoses	apodosis
apomixes	apomixis
aponeuroses	aponeurosis
apophyses	apophysis
aposiopeses	aposiopesis
apothecia	apothecium
apotheoses	apotheosis
appalled	appal
appalling	appal
apparatus	apparatus
appendices	appendix
applied	apply
appoggiature	appoggiatura
apsides	apsis
aquae	aqua
aquaria	aquarium
araglis	argali
arboreta	arboretum
arcana	arcanum
archegonia	archegonium
archer	archer
archerfishes	archerfish
archesporia	archesporium
archipelagoes	archipelago
arcked	arc
arcking	arc
arcs-boutants	arc-boutant
are	be
areolae	areola
argali	argali
argufied	argufy
argumenta	argumentum
ariette	arietta
arisen	arise
aristae	arista
armamentaria	armamentarium
arose	arise
arses	arsis
artal	rotl
artel	rotl
arterioscleroses	arteriosclerosis
artier	arty
artiest	arty
aruspices	aruspex
asceses	ascesis
asci	ascus
ascidia	ascidium
ascogonia	ascogonium
ashes	ash
ashier	ashy
ashiest	ashy
ashkenazim	ashkenazi
aspergilla	aspergillum
aspergilli	aspergillus
aspergilloses	aspergillosis
aspersoria	aspersorium
assaulter	assaulter
assegais	assagai
astragali	astragalus
asyndeta	asyndeton
ate	eat
atheromata	atheroma
atheroscleroses	atherosclerosis
atmolyses	atmolysis
atria	atrium
atrophied	atrophy
attacker	attacker
attorneys-at-law	attorney-at-law
auditoria	auditorium
aurae	aura
aurar	eyir
aurei	aureus
auriculae	auricula
aurorae	aurora
auspices	auspex
autocatalyses	autocatalysis
autochthones	autochthon
automata	automaton
autos-da-fe	auto-da-fe
averred	aver
averring	aver
avitaminoses	avitaminosis
awoke	awake
awoken	awake
axes	ax
axillae	axilla
babied	baby
baby-sat	baby-sit
baby-sitting	baby-sit
bacchantes	bacchant
bacchii	bacchius
bacilli	bacillus
back-pedalled	back-pedal
back-pedalling	back-pedal
backbit	backbite
backbitten	backbite
backer	backer
backslid	backslide
backslidden	backslide
bacteriostases	bacteriostasis
bacula	baculum
bade	bid
bagged	bag
baggier	baggy
baggiest	baggy
bagging	bag
bains marie	bain marie
bains-marie	bain-marie
balkier	balky
balkiest	balky
ballistae	ballista
ballyragged	ballyrag
ballyragging	ballyrag
balmier	balmy
balmiest	balmy
bambini	bambino
bandeaux	bandeau
bandied	bandy
bandier	bandy
bandiest	bandy
banditti	bandit
bani	ban
banjoes	banjo
banned	ban
banning	ban
bargainer	bargainer
barklice	barklouse
barmier	barmy
barmiest	barmy
barramundies	barramundi
barred	bar
barrelled	barrel
barrelling	barrel
barring	bar
bases	base
bases on balls	base on balls
bases-on-balls	base on balls
basidia	basidium
basified	basify
basileis	basileus
bassi	basso
bastinadoes	bastinado
bateaux	bateau
batfishes	batfish
batted	bat
battier	batty
battiest	batty
batting	bat
baulkier	baulky
baulkiest	baulky
bawdier	bawdy
bawdiest	bawdy
bayer	bayer
bayonetted	bayonet
bayonetting	bayonet
beadier	beady
beadiest	beady
beadsmen	beadsman
beastlier	beastly
beastliest	beastly
beaten	beat
beater	beater
beatified	beatify
beautified	beautify
beaux	beau
became	become
became known	become known
beches-de-mer	beche-de-mer
becomes known	become known
bed	bed
bedded	bed
bedding	bed
bedevilled	bedevil
bedevilling	bedevil
bedimmed	bedim
bedimming	bedim
